Instance,Method,Profit,Weight,NumItems,Time,Feasible
13I4.txt,Greedy_MaxProfit,13749,13359,39,0.000549,Yes
13I4.txt,Greedy_MinWeight,3749,3329,42,0.000526,Yes
13I4.txt,Greedy_MaxProfitWeight,3749,3329,42,0.000484,Yes
13I4.txt,Greedy_MinConflicts,8109,7659,45,0.000514,Yes
13I4.txt,GRASP_100_0.3,5929,5469,46,1.449678,Yes
13I5.txt,Greedy_MaxProfit,14021,13581,44,0.000562,Yes
13I5.txt,Greedy_MinWeight,3238,2818,42,0.000516,Yes
13I5.txt,Greedy_MaxProfitWeight,3238,2818,42,0.000510,Yes
13I5.txt,Greedy_MinConflicts,9831,9391,44,0.000541,Yes
13I5.txt,GRASP_100_0.3,5810,5330,48,1.406573,Yes
14I1.txt,Greedy_MaxProfit,11276,10956,32,0.000534,Yes
14I1.txt,Greedy_MinWeight,2121,1811,31,0.000550,Yes
14I1.txt,Greedy_MaxProfitWeight,2121,1811,31,0.000466,Yes
14I1.txt,Greedy_MinConflicts,7083,6723,36,0.000505,Yes
14I1.txt,GRASP_100_0.3,4392,4022,37,0.946651,Yes
14I2.txt,Greedy_MaxProfit,10098,9808,29,0.000485,Yes
14I2.txt,Greedy_MinWeight,2517,2197,32,0.000490,Yes
14I2.txt,Greedy_MaxProfitWeight,2517,2197,32,0.000450,Yes
14I2.txt,Greedy_MinConflicts,7597,7237,36,0.000467,Yes
14I2.txt,GRASP_100_0.3,4620,4270,35,0.967422,Yes
14I3.txt,Greedy_MaxProfit,11590,11260,33,0.000514,Yes
14I3.txt,Greedy_MinWeight,2059,1739,32,0.000490,Yes
14I3.txt,Greedy_MaxProfitWeight,2059,1739,32,0.000437,Yes
14I3.txt,Greedy_MinConflicts,7037,6697,34,0.000476,Yes
14I3.txt,GRASP_100_0.3,4755,4395,36,0.943527,Yes
14I4.txt,Greedy_MaxProfit,11025,10705,32,0.000488,Yes
14I4.txt,Greedy_MinWeight,2708,2378,33,0.000464,Yes
14I4.txt,Greedy_MaxProfitWeight,2708,2378,33,0.000414,Yes
14I4.txt,Greedy_MinConflicts,7593,7243,35,0.000462,Yes
14I4.txt,GRASP_100_0.3,4432,4092,34,0.944036,Yes
14I5.txt,Greedy_MaxProfit,10283,9963,32,0.000763,Yes
14I5.txt,Greedy_MinWeight,2953,2643,31,0.000691,Yes
14I5.txt,Greedy_MaxProfitWeight,2953,2643,31,0.000532,Yes
14I5.txt,Greedy_MinConflicts,7173,6803,37,0.000501,Yes
14I5.txt,GRASP_100_0.3,4435,4095,34,0.933870,Yes
15I1.txt,Greedy_MaxProfit,9051,8781,27,0.000456,Yes
15I1.txt,Greedy_MinWeight,1506,1256,25,0.000450,Yes
15I1.txt,Greedy_MaxProfitWeight,1506,1256,25,0.000680,Yes
15I1.txt,Greedy_MinConflicts,5497,5217,28,0.000378,Yes
15I1.txt,GRASP_100_0.3,3294,3004,29,0.624256,Yes
15I2.txt,Greedy_MaxProfit,9484,9224,26,0.000460,Yes
15I2.txt,Greedy_MinWeight,2326,2056,27,0.000402,Yes
15I2.txt,Greedy_MaxProfitWeight,2326,2056,27,0.000343,Yes
15I2.txt,Greedy_MinConflicts,6538,6248,29,0.000374,Yes
15I2.txt,GRASP_100_0.3,3432,3152,28,0.660289,Yes
15I3.txt,Greedy_MaxProfit,9505,9235,27,0.000400,Yes
15I3.txt,Greedy_MinWeight,2201,1931,27,0.000418,Yes
15I3.txt,Greedy_MaxProfitWeight,2201,1931,27,0.000349,Yes
15I3.txt,Greedy_MinConflicts,4635,4355,28,0.000373,Yes
15I3.txt,GRASP_100_0.3,3948,3648,30,0.653300,Yes
15I4.txt,Greedy_MaxProfit,8753,8493,26,0.000414,Yes
15I4.txt,Greedy_MinWeight,2547,2277,27,0.000432,Yes
15I4.txt,Greedy_MaxProfitWeight,2547,2277,27,0.000358,Yes
15I4.txt,Greedy_MinConflicts,6442,6152,29,0.000414,Yes
15I4.txt,GRASP_100_0.3,3945,3625,32,0.676127,Yes
15I5.txt,Greedy_MaxProfit,8538,8278,26,0.000449,Yes
15I5.txt,Greedy_MinWeight,1469,1229,24,0.000428,Yes
